Flow ID,Completion Time,ReceivedBytes,PacketsSent
1699,24113094877,2016000,508
1703,24767746392,2016000,522
1707,24322601028,2016000,513
1711,24840559665,2016000,524
1715,24544792661,2016000,516
1719,24681588218,2016000,520
1723,25013624310,2016000,527
1727,24660191785,2016000,520
1731,24805686950,2016000,523
1735,25324205793,2016000,533
1739,25673927772,2016000,541
1743,26687044756,2016000,563
1747,24796941987,2016000,523
1751,25386701861,2016000,536
1755,24374399501,2016000,515
1759,24363497296,2016000,514
1763,24311440908,2016000,512
1767,25758023819,2016000,544
1771,25704122375,2016000,542
1775,25533134984,2016000,539
1779,25547875730,2016000,539
1783,24293394637,2016000,511
1787,25361657246,2016000,535
1791,24918593137,2016000,526
1795,24658573081,2016000,521
1799,24463897300,2016000,516
1803,26108368187,2016000,551
1807,24571607475,2016000,517
1811,25606438494,2016000,539
1815,25812996374,2016000,544
1819,26995398440,2016000,570
1823,25493121064,2016000,538
1827,24207065174,2016000,511
1831,25040140379,2016000,528
1835,24814037836,2016000,524
1839,26661326603,2016000,562
1843,24896425696,2016000,525
1847,24605159058,2016000,518
1851,24824800578,2016000,524
1855,25035795060,2016000,527
1859,24844851993,2016000,523
1863,24746225272,2016000,522
1867,25010961645,2016000,527
1871,24764705387,2016000,522
1875,26397979305,2016000,556
1879,24197324545,2016000,511
1883,26288156652,2016000,553
1887,26720657476,2016000,564
1891,27081479625,2016000,572
1895,26197292689,2016000,553
1899,26736020658,2016000,564
1903,26913099901,2016000,568
1907,26372176043,2016000,556
1911,25972230520,2016000,547
1915,25081986006,2016000,529
1919,27396623667,2016000,578
1923,24133940264,2016000,509
1927,24486512575,2016000,517
1931,28908566424,2016000,609
1935,24562397105,2016000,517
1939,24283554717,2016000,513
1943,26019149847,2016000,549
1947,26825784721,2016000,566
1951,25966564417,2016000,548
1955,25384886767,2016000,535
1959,25367614320,2016000,535
1963,27665672989,2016000,583
1967,24362928980,2016000,514
1971,24233338333,2016000,511
1975,24251754512,2016000,511
1979,26010501874,2016000,549
1983,24935162178,2016000,526
1987,25630956980,2016000,540
1991,24868262624,2016000,525
1995,26592908882,2016000,560
1999,25316470992,2016000,534
2003,25006090374,2016000,527
2007,24254971928,2016000,511
2011,24355363861,2016000,514
2015,25633110818,2016000,540
2019,25896340138,2016000,546
2023,24881514934,2016000,525
2027,24284887793,2016000,512
2031,24468993058,2016000,517
2035,25064291049,2016000,528
2039,24467010836,2016000,516
2043,24561653561,2016000,518
2047,25054594103,2016000,528
2051,26504946830,2016000,558
2055,24593906756,2016000,519
2059,24597707198,2016000,519
2063,25244202154,2016000,533
2067,24566835137,2016000,519
2071,25821375588,2016000,544
2075,23919747145,2016000,505
2079,25984044070,2016000,548
2083,26309771025,2016000,555
2087,23969215874,2016000,505
2091,25571557904,2016000,539
2095,24939371081,2016000,526
2099,25143745558,2016000,530
2103,26808382180,2016000,564
2107,24410369893,2016000,514
2111,24941108506,2016000,527
2115,26656063228,2016000,563
2119,24731354542,2016000,522
2123,24702500366,2016000,522
2127,24136613279,2016000,509
2131,24830254000,2016000,523
2135,24447794481,2016000,516
2139,24126865507,2016000,509
2143,26267937008,2016000,554
2147,24109337390,2016000,508
2151,24365598122,2016000,514
2155,24047684787,2016000,508
2159,24990226843,2016000,526
2163,24828585384,2016000,524
2167,24753698122,2016000,522
2171,24758809956,2016000,522
2175,24756638196,2016000,522
2179,25382660229,2016000,536
2183,24846516844,2016000,524
2187,25284604297,2016000,533
2191,25731557665,2016000,542
2195,24727930920,2016000,521
2199,24632072349,2016000,519
2203,25109938889,2016000,530
2207,24852959775,2016000,524
2211,24447137600,2016000,516
2215,24357634086,2016000,514
2219,24606539185,2016000,519
2223,24745669741,2016000,522
2227,24343463331,2016000,513
2231,24320610796,2016000,513
2235,25022310219,2016000,527
2239,24663150990,2016000,521
2243,24999198890,2016000,527
2247,24446806261,2016000,516
2251,25118778127,2016000,530
2255,24859486184,2016000,524
2259,24245734300,2016000,511
2263,25183223757,2016000,532
2267,26109752500,2016000,551
2271,24513785020,2016000,517
2275,24635473164,2016000,519
2279,24286994247,2016000,512
2283,24397389411,2016000,514
2287,24624475924,2016000,519
